uri,notation,label_fi,label_sv,label_en
http://www.yso.fi/onto/yso/p17913,,sitruuna,citron,lemon
http://www.yso.fi/onto/yso/p17914,,Kajava-hieronta,Kajava-massage,Kajava method
http://www.yso.fi/onto/yso/p17915,,meriotakilokki,sodaört,Kali turgida
http://www.yso.fi/onto/yso/p17916,,otakilokit,sodaörtssläktet,Salsola
http://www.yso.fi/onto/yso/p17917,,tietovirrat,informationsflöden,information flows
http://www.yso.fi/onto/yso/p17918,,genetiivi,genitiv,genetive case
http://www.yso.fi/onto/yso/p1792,,neumikirjoitus,neumskrift,neumes
http://www.yso.fi/onto/yso/p17920,,radiokemia,radiokemi,radiochemistry
http://www.yso.fi/onto/yso/p17921,,käynnistys,start,starting
http://www.yso.fi/onto/yso/p17922,,lukukausimaksut,terminsavgifter,term fees
http://www.yso.fi/onto/yso/p17923,,sosiaalinen konstruktivismi,socialkonstruktivism,social constructivism
http://www.yso.fi/onto/yso/p17924,,elämyspedagogiikka,upplevelsepedagogik,experiential pedagogy
http://www.yso.fi/onto/yso/p17925,,heijastimet,reflexer (säkerhet),reflectors (safety equipment)
